date,adj close
2001-03-30,307.43
2001-04-02,308.49
2001-04-03,305.62
2001-04-04,305.50
2001-04-05,308.59
2001-04-06,304.79
2001-04-09,305.27
2001-04-10,304.48
2001-04-11,298.92
2001-04-12,299.34
2001-04-16,299.04
2001-04-17,302.64
2001-04-18,307.07
2001-04-19,307.09
2001-04-20,306.94
2001-04-23,306.28
2001-04-24,305.21
2001-04-25,306.31
2001-04-26,310.72
2001-04-27,314.48
2001-04-30,315.59
2001-05-01,315.38
2001-05-02,313.19
2001-05-03,313.05
2001-05-04,310.91
2001-05-07,310.43
2001-05-08,309.91
2001-05-09,310.36
2001-05-10,310.15
2001-05-11,310.46
2001-05-14,311.23
2001-05-15,312.05
2001-05-16,314.75
2001-05-17,316.54
2001-05-18,317.84
2001-05-21,318.49
2001-05-22,320.67
2001-05-23,322.71
2001-05-24,324.46
2001-05-25,324.47
2001-05-29,323.57
2001-05-30,320.62
2001-05-31,321.97
2001-06-01,321.96
2001-06-04,323.74
2001-06-05,324.92
2001-06-06,325.78
2001-06-07,326.15
2001-06-08,325.32
2001-06-11,329.01
2001-06-12,331.93
2001-06-13,332.80
2001-06-14,332.51
2001-06-15,332.44
2001-06-18,334.77
2001-06-19,334.82
2001-06-20,336.76
2001-06-21,337.22
2001-06-22,335.97
2001-06-25,335.34
2001-06-26,338.14
2001-06-27,336.49
2001-06-28,338.53
2001-06-29,341.03
2001-07-02,341.59
2001-07-03,341.70
2001-07-05,341.67
2001-07-06,340.82
2001-07-09,336.10
2001-07-10,335.02
2001-07-11,333.33
2001-07-12,335.30
2001-07-13,336.88
2001-07-16,336.86
2001-07-17,338.19
2001-07-18,339.50
2001-07-19,339.66
2001-07-20,338.66
2001-07-23,337.54
2001-07-24,335.78
2001-07-25,335.31
2001-07-26,336.08
2001-07-27,335.71
2001-07-30,332.44
2001-07-31,333.32
2001-08-01,335.63
2001-08-02,337.85
2001-08-03,339.53
2001-08-06,340.92
2001-08-07,342.11
2001-08-08,343.34
2001-08-09,343.56
2001-08-10,347.53
2001-08-13,347.48
2001-08-14,349.79
2001-08-15,353.32
