date,adj close
2001-03-30,440.58
2001-04-02,434.28
2001-04-03,418.71
2001-04-04,417.63
2001-04-05,437.09
2001-04-06,428.27
2001-04-09,431.79
2001-04-10,444.22
2001-04-11,443.62
2001-04-12,450.74
2001-04-16,448.94
2001-04-17,453.91
2001-04-18,471.66
2001-04-19,478.32
2001-04-20,474.44
2001-04-23,466.69
2001-04-24,460.86
2001-04-25,468.19
2001-04-26,470.46
2001-04-27,477.71
2001-04-30,477.35
2001-05-01,483.85
2001-05-02,484.71
2001-05-03,477.28
2001-05-04,484.02
2001-05-07,482.76
2001-05-08,482.12
2001-05-09,479.85
2001-05-10,479.41
2001-05-11,475.93
2001-05-14,476.95
2001-05-15,477.31
2001-05-16,491.51
2001-05-17,493.71
2001-05-18,494.98
2001-05-21,503.70
2001-05-22,502.13
2001-05-23,493.62
2001-05-24,495.67
2001-05-25,490.23
2001-05-29,485.61
2001-05-30,477.64
2001-05-31,481.14
2001-06-01,483.32
2001-06-04,485.87
2001-06-05,492.55
2001-06-06,487.50
2001-06-07,490.03
2001-06-08,485.17
2001-06-11,480.77
2001-06-12,481.06
2001-06-13,476.00
2001-06-14,467.29
2001-06-15,465.43
2001-06-18,463.26
2001-06-19,464.51
2001-06-20,469.17
2001-06-21,474.13
2001-06-22,469.53
2001-06-25,467.02
2001-06-26,466.31
2001-06-27,464.51
2001-06-28,470.48
2001-06-29,470.40
2001-07-02,474.78
2001-07-03,474.10
2001-07-05,468.02
2001-07-06,457.25
2001-07-09,459.96
2001-07-10,453.24
2001-07-11,452.36
2001-07-12,462.73
2001-07-13,465.52
2001-07-16,459.99
2001-07-17,465.01
2001-07-18,462.35
2001-07-19,464.87
2001-07-20,463.46
2001-07-23,456.08
2001-07-24,448.57
2001-07-25,455.21
2001-07-26,460.34
2001-07-27,461.80
2001-07-30,461.33
2001-07-31,463.98
2001-08-01,465.96
2001-08-02,467.82
2001-08-03,465.69
2001-08-06,460.52
2001-08-07,461.83
2001-08-08,453.87
2001-08-09,453.84
2001-08-10,456.28
2001-08-13,457.31
2001-08-14,455.46
2001-08-15,452.23
2001-08-16,453.16
2001-08-17,445.90
2001-08-20,449.33
2001-08-21,444.29
2001-08-22,447.58
2001-08-23,446.59
2001-08-24,455.17
2001-08-27,453.34
2001-08-28,446.56
2001-08-29,441.79
2001-08-30,434.47
2001-08-31,436.39
2001-09-04,436.13
2001-09-05,435.29
2001-09-06,425.85
2001-09-07,418.06
2001-09-10,420.42
2001-09-17,399.13
2001-09-18,395.93
2001-09-19,389.49
2001-09-20,377.72
2001-09-21,370.61
2001-09-24,384.74
2001-09-25,387.77
2001-09-26,385.78
2001-09-27,390.61
2001-09-28,399.22
2001-10-01,398.01
2001-10-02,402.45
2001-10-03,410.92
2001-10-04,410.34
2001-10-05,410.69
2001-10-08,407.22
2001-10-09,405.32
