ticker,aum
VNQI,3711
PFF,13097
QAI,1012
FTLS,2412
CTA,3862
DBMF,1500
EMB,14486
VWOB,6300
EMLC,4830
ICVT,7480
BND,160000
AGG,138120
BNDX,82740
VCIT,66964
IEF,47020
VGIT,41860
BIV,29151
TLT,41720
MBB,39400
VMBS,15530
TLH,11172
BSV,44280
VGSH,29403
SHY,25311
SGOV,96216
BIL,46605
GLD,131613
SLV,27900
PBDC,5223
HGER,3250
FTGC,2740
IBIT,43933
ETH,1363
VOO,981122
QQQ,488908
VTI,662274
VEA,227250
VUG,222953
VTV,185573
IEFA,184535
IEMG,156904
DIA,44364
MGK,33060
OEF,20000
MGV,13126
MGC,10000
IOO,8480
VTWO,17850
IJT,8340
SLYG,5179
VT,90000
IJH,123500
IWR,105890
IJR,56000
IWM,110843
VB,82160
VGT,81100
VBR,489000
CGDV,223000
VXUS,143500
VEU,185570
VPL,36850
VGK,36370
EZU,155330
IEUR,66333
EWL,8340
EFA,28717
VNQ,9436
SCHH,8565
AVUV,27000
MTUM,26000
USMV,23000
VGLT,10300
TIP,14510
HYG,17000
GSG,10000
