ticker,average_weight,simulation,strategy
BND,0.3000000000000002,1,min_variance
GLD,0.09999999999999978,1,min_variance
GSG,0.09999999999999978,1,min_variance
SGOV,0.39999999999999913,1,min_variance
VT,0.09999999999999978,1,min_variance
BND,0.16022307692307686,1,max_sharpe
GLD,0.232458974358974,1,max_sharpe
GSG,0.12199196581196564,1,max_sharpe
SGOV,0.2838475213675216,1,max_sharpe
VT,0.20147829059829114,1,max_sharpe
BND,0.0,1,market_cap
GLD,0.0,1,market_cap
GSG,0.0,1,market_cap
SGOV,0.0,1,market_cap
VT,1.0,1,market_cap
BND,0.19999999999999957,1,equal_weight
GLD,0.19999999999999957,1,equal_weight
GSG,0.19999999999999957,1,equal_weight
SGOV,0.19999999999999957,1,equal_weight
VT,0.19999999999999957,1,equal_weight
BND,0.3000000000000002,2,min_variance
GLD,0.09999999999999978,2,min_variance
GSG,0.09999999999999978,2,min_variance
SGOV,0.39999999999999913,2,min_variance
VT,0.09999999999999978,2,min_variance
BND,0.3117039316239315,2,max_sharpe
GLD,0.21172,2,max_sharpe
GSG,0.09999999999999978,2,max_sharpe
SGOV,0.1953758974358974,2,max_sharpe
VT,0.18120025641025655,2,max_sharpe
BND,0.0,2,market_cap
GLD,0.0,2,market_cap
GSG,0.0,2,market_cap
SGOV,0.0,2,market_cap
VT,1.0,2,market_cap
BND,0.19999999999999957,2,equal_weight
GLD,0.19999999999999957,2,equal_weight
GSG,0.19999999999999957,2,equal_weight
SGOV,0.19999999999999957,2,equal_weight
VT,0.19999999999999957,2,equal_weight
BND,0.3000000000000002,3,min_variance
GLD,0.09999999999999978,3,min_variance
GSG,0.09999999999999978,3,min_variance
SGOV,0.39999999999999913,3,min_variance
VT,0.09999999999999978,3,min_variance
BND,0.13767820512820492,3,max_sharpe
GLD,0.23645991452991452,3,max_sharpe
GSG,0.16183564102564124,3,max_sharpe
SGOV,0.2621693162393166,3,max_sharpe
VT,0.20185726495726478,3,max_sharpe
BND,0.0,3,market_cap
GLD,0.0,3,market_cap
GSG,0.0,3,market_cap
SGOV,0.0,3,market_cap
VT,1.0,3,market_cap
BND,0.19999999999999957,3,equal_weight
GLD,0.19999999999999957,3,equal_weight
GSG,0.19999999999999957,3,equal_weight
SGOV,0.19999999999999957,3,equal_weight
VT,0.19999999999999957,3,equal_weight
BND,0.3000000000000002,4,min_variance
GLD,0.09999999999999978,4,min_variance
GSG,0.09999999999999978,4,min_variance
SGOV,0.39999999999999913,4,min_variance
VT,0.09999999999999978,4,min_variance
BND,0.23702675213675267,4,max_sharpe
GLD,0.27749521367521357,4,max_sharpe
GSG,0.12155256410256396,4,max_sharpe
SGOV,0.22421316239316255,4,max_sharpe
